movie_id,movie_title,genre_id,genre_name,avg_rating,num_ratings,percentile
tt0009079,The Floor Below,10,Comedy,6.3,52,0.0
tt0010640,Roped,10,Comedy,3.7,52,0.0
tt0010566,Phil-for-Short,10,Comedy,7.4,52,0.0
tt0001790,"Les Misérables, Part 1: Jean Valjean",8,Drama,6.0,52,0.0
tt0009079,The Floor Below,8,Drama,6.3,52,0.0
tt0006932,Little Mary Sunshine,8,Drama,6.4,52,0.0
tt0009568,Rose-France,8,Drama,6.8,52,0.0
tt0009765,Virtuous Wives,8,Drama,5.1,53,0.0002990207071839725
tt0191263,The Man Beneath,8,Drama,7.8,53,0.0002990207071839725
tt0007931,The Man from Painted Post,5,Action,6.5,53,0.0
tt0007931,The Man from Painted Post,10,Comedy,6.5,53,0.00039077764751856197
tt0191263,The Man Beneath,12,Crime,7.8,53,0.0
tt0003159,"Les Misérables, Part 2: Fantine",8,Drama,5.9,53,0.0002990207071839725
tt0005683,Madame de Thebes,8,Drama,5.9,53,0.0002990207071839725
tt0007931,The Man from Painted Post,1,Romance,6.5,53,0.0
tt0313622,Snow White,6,Adventure,3.4,54,0.0
tt0010754,Fairy of Solbakken,8,Drama,6.3,54,0.000598041414367945
tt0004164,"Ireland, a Nation",8,Drama,3.7,54,0.000598041414367945
tt0007910,The Colonel,8,Drama,6.6,54,0.000598041414367945
tt0007867,A Doll's House,8,Drama,7.3,54,0.000598041414367945
tt0003890,The Escape,8,Drama,5.5,54,0.000598041414367945
tt0006914,Less Than the Dust,8,Drama,5.7,55,0.0009718172983479105
tt0006426,Betty of Greystone,8,Drama,5.0,55,0.0009718172983479105
tt0006861,An Innocent Magdalene,8,Drama,6.4,55,0.0009718172983479105
tt0133418,The Birth of a Race,8,Drama,6.1,56,0.00119608282873589
tt0140641,The Twin Pawns,8,Drama,6.9,56,0.00119608282873589
tt0007699,Betsy's Burglar,10,Comedy,5.2,56,0.0005210368633580826
tt0007699,Betsy's Burglar,1,Romance,5.2,56,0.00024313153415998054
tt0009309,Little Women,1,Romance,6.5,57,0.0004862630683199611
tt0005615,Life Without Soul,19,Horror,6.5,57,0.0
tt0005615,Life Without Soul,8,Drama,6.5,57,0.0013455931823278763
tt0009309,Little Women,8,Drama,6.5,57,0.0013455931823278763
tt0005945,Rags,8,Drama,7.1,57,0.0013455931823278763
tt0005621,The Lily and the Rose,8,Drama,6.8,57,0.0013455931823278763
tt0009560,The Romance of Tarzan,6,Adventure,6.3,58,0.00032615786040443573
tt0009560,The Romance of Tarzan,5,Action,6.3,58,0.00021181952976064393
tt0009406,My Four Years in Germany,8,Drama,5.7,58,0.0016446138895118488
tt0010316,Jubilo,8,Drama,6.1,59,0.001719369066307842
tt0010316,Jubilo,10,Comedy,6.1,59,0.0006512960791976032
tt0008876,The Beloved Blackmailer,10,Comedy,6.9,59,0.0006512960791976032
tt0004525,The Reign of Terror,8,Drama,5.7,59,0.001719369066307842
tt0007590,The World and the Woman,8,Drama,6.1,59,0.001719369066307842
tt0008876,The Beloved Blackmailer,1,Romance,6.9,59,0.0007293946024799417
tt0005179,David Harum,1,Romance,5.6,60,0.0009725261366399222
tt0008764,The Whip,8,Drama,5.5,60,0.001943634596695821
tt0009903,Bare Fists,8,Drama,3.9,60,0.001943634596695821
tt0005179,David Harum,8,Drama,5.6,60,0.001943634596695821
tt0005179,David Harum,10,Comedy,5.6,60,0.0009118145108766445
tt0009903,Bare Fists,5,Action,3.9,60,0.00042363905952128787
tt0361094,A Victim of the Mormons,8,Drama,4.8,61,0.0021679001270838005
tt0005522,How Molly Malone Made Good,10,Comedy,5.6,61,0.0010420737267161652
tt0010045,Dangerous Hours,8,Drama,5.2,61,0.0021679001270838005
tt0005522,How Molly Malone Made Good,6,Adventure,5.6,61,0.0006523157208088715
tt0009950,Bolshevism on Trial,8,Drama,5.3,62,0.0023174104806757867
tt0009918,The Belle of New York,8,Drama,7.6,62,0.0023174104806757867
tt0008442,Polly of the Circus,8,Drama,7.0,63,0.002466920834267773
tt0004593,The Sign of the Cross,8,Drama,5.8,63,0.002466920834267773
tt0005600,The Lamb,10,Comedy,5.5,64,0.0011723329425556857
tt0006397,Wolo czawienko,8,Drama,5.7,64,0.0026164311878597592
tt0005600,The Lamb,6,Adventure,5.5,64,0.0009784735812133072
tt0279914,Lady Windermere's Fan,10,Comedy,5.4,64,0.0011723329425556857
tt0279914,Lady Windermere's Fan,8,Drama,5.4,64,0.0026164311878597592
tt0010330,Emerald of Death,8,Drama,6.7,64,0.0026164311878597592
tt0007646,El apóstol,10,Comedy,7.4,65,0.0014328513742347272
tt0007646,El apóstol,8,Drama,7.4,65,0.002840696718247739
tt0009142,He Comes Up Smiling,6,Adventure,6.2,65,0.001304631441617743
tt0009837,A Woman's Fool,10,Comedy,4.0,65,0.0014328513742347272
tt0009142,He Comes Up Smiling,10,Comedy,6.2,65,0.0014328513742347272
tt0009142,He Comes Up Smiling,1,Romance,6.2,65,0.0012156576707999028
tt0010356,Lightning Bryce,19,Horror,5.6,66,0.0003295978905735003
tt0010356,Lightning Bryce,1,Romance,5.6,66,0.0014587892049598833
tt0010356,Lightning Bryce,6,Adventure,5.6,66,0.0016307893020221786
tt0010544,The Outcasts of Poker Flat,8,Drama,3.9,66,0.0029154518950437317
tt0004022,Julius Caesar,8,Drama,6.3,66,0.0029154518950437317
tt0006568,A Daughter of the Gods,8,Drama,6.9,66,0.0029154518950437317
tt0006703,Friday the 13th,8,Drama,5.8,66,0.0029154518950437317
